nr;organization;userType;country;DQ_F1;DQ_In_F1;DQ_F2;DQ_In_F2
1;Psychology of Technology Institute;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
2;OpenMined;Non-governmental organisation (NGO);United States;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
3;Mozilla Open Source Audit Tooling (OAT) Project;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
4;University of Amsterdam_MediaStudies;Academic/research Institution;Netherlands;Not mentioning DQ;Not mentioning DQ;NA;NA
5;Academic Researchers from the Massachusetts Institute of Technology, Harvard University and Northeastern University;Other;United States;Mentioning DQ;Not mentioning DQ;NA;NA
6;University of Michigan Center for Social Media Responsibility;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
7;RESET;Non-governmental organisation (NGO);United Kingdom;Mentioning DQ;Mentioning DQ;Not mentioning DQ;Not mentioning DQ
8;Data Co-ops Project (https://datacoopslab.org);Other;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
9;National Democratic Institute;Non-governmental organisation (NGO);United States;Not mentioning DQ;Not mentioning DQ;NA;NA
10;UC Berkeley;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
11;USC/ISI and Princeton University;Academic/research Institution;United States;Mentioning DQ;Mentioning DQ;NA;NA
12;GLOBSEC;Non-governmental organisation (NGO);Slovakia;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
13;Avaaz;Non-governmental organisation (NGO);United States;Mentioning DQ;Mentioning DQ;NA;NA
14;5Rights Foundation;Non-governmental organisation (NGO);Belgium;Not mentioning DQ;Not mentioning DQ;Mentioning DQ;Mentioning DQ
15;TikTok Technology Limited;Company/business;Ireland;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
16;Women in AI Austria;Non-governmental organisation (NGO);Austria;Not mentioning DQ;Not mentioning DQ;NA;NA
17;Brandon Silverman;Non-EU citizen;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
18;University Of Helsinki_Palonen;Academic/research Institution;Finland;Not mentioning DQ;Not mentioning DQ;NA;NA
19;Universidade Catolica Portuguesa on behalf of Fair MusE;Academic/research Institution;Portugal;Mentioning DQ;Mentioning DQ;NA;NA
20;GDR Internet IA et Société - CNRS;Academic/research Institution;France;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
21;Panoptykon Foundation;Non-governmental organisation (NGO);Poland;Not mentioning DQ;Not mentioning DQ;NA;NA
22;opsci;Company/business;France;Not mentioning DQ;Not mentioning DQ;NA;NA
23;Sciences Po médialab / DE FACTO hub (taking part in EDMO network);Academic/research Institution;France;Not mentioning DQ;Not mentioning DQ;Mentioning DQ;Not mentioning DQ
24;Goodly Labs;Non-governmental organisation (NGO);United States;Not mentioning DQ;Not mentioning DQ;NA;NA
25;"Institute for Research on the Information Environment; Princeton University";Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
26;WITNESS;Non-governmental organisation (NGO);United States;Not mentioning DQ;Not mentioning DQ;NA;NA
27;Institut Mines-Télécom;Academic/research Institution;France;Mentioning DQ;Mentioning DQ;NA;NA
28;NORDIS - Nordic Observatory for Digital Media and Information Disorder, PI located at DATALAB- Center for Digital Social Research, Aarhus University, Denmark;Academic/research Institution;Denmark;Mentioning DQ;Not mentioning DQ;Mentioning DQ;Not mentioning DQ
29;Global Disinformation Index;Non-governmental organisation (NGO);Germany;Not mentioning DQ;Not mentioning DQ;Mentioning DQ;Mentioning DQ
30;Centre for Information and Innovation Law (CIIR), Faculty of Law, University of Copenhagen;Academic/research Institution;Denmark;Not mentioning DQ;Not mentioning DQ;NA;NA
31;Academic Researcher Members of the EDMO Working Group on Platform-to-Researcher Data Access;Other;Italy;Not mentioning DQ;Not mentioning DQ;NA;NA
32;Platform Governance, Media and Technology Lab;Academic/research Institution;Germany;Not mentioning DQ;Not mentioning DQ;NA;NA
33;Google;Company/business;Ireland;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
34;Computational Social Science Lab, Complexity Science Hub Vienna;Academic/research Institution;Austria;Not mentioning DQ;Not mentioning DQ;NA;NA
35;Democracy Reporting International;Non-governmental organisation (NGO);Germany;Mentioning DQ;Mentioning DQ;Mentioning DQ;Mentioning DQ
36;EU DisinfoLab;Non-governmental organisation (NGO);Belgium;Mentioning DQ;Mentioning DQ;NA;NA
37;University of Amsterdam;Academic/research Institution;Austria;Not mentioning DQ;Not mentioning DQ;Mentioning DQ;Not mentioning DQ
38;University of Amsterdam;Academic/research Institution;Netherlands;Mentioning DQ;Not mentioning DQ;NA;NA
39;Rappler, Nerve;Academic/research Institution;Philippines;Not mentioning DQ;Not mentioning DQ;NA;NA
40;The School of International and Public Affairs (SIPA) at Columbia University;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
41;DOT Europe;Business association;Belgium;Mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
42;Lujain Ibrahim;Non-EU citizen;Jordan;Mentioning DQ;Not mentioning DQ;NA;NA
43;Principia Association;Non-governmental organisation (NGO);Romania;Not mentioning DQ;Not mentioning DQ;NA;NA
44;Arcom;Public authority;France;Not mentioning DQ;Not mentioning DQ;NA;NA
45;Council for Media Services;Public authority;Slovakia;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
46;Computer & Communications Industry Association (CCIA Europe);Business association;Belgium;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
47;Myrto PANTAZI;EU citizen;Greece;Mentioning DQ;Not mentioning DQ;NA;NA
48;Centre for Democracy & Technology, Europe Office;Non-governmental organisation (NGO);Belgium;Mentioning DQ;Mentioning DQ;Mentioning DQ;Mentioning DQ
49;Julia Angwin;Non-EU citizen;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
50;European Digital Media Observatory;Academic/research Institution;Italy;Mentioning DQ;Not mentioning DQ;Mentioning DQ;Mentioning DQ
51;the Mozilla Foundation;Non-governmental organisation (NGO);United States;Mentioning DQ;Mentioning DQ;Mentioning DQ;Mentioning DQ
52;AI Forensics;Non-governmental organisation (NGO);France;Mentioning DQ;Mentioning DQ;NA;NA
53;Anonymous;EU citizen;Finland;Not mentioning DQ;Not mentioning DQ;NA;NA
54;Maldita.es Foundation Against Disinformation;Non-governmental organisation (NGO);Spain;Mentioning DQ;Mentioning DQ;NA;NA
55;Anonymous;EU citizen;Germany;Not mentioning DQ;Not mentioning DQ;NA;NA
56;vera.ai (EU Horizon Europe Research and Innovation Project);Other;Belgium;Not mentioning DQ;Not mentioning DQ;NA;NA
57;Amsterdam School of Communication Research (ASCoR), University of Amsterdam;Academic/research Institution;Netherlands;Mentioning DQ;Mentioning DQ;Mentioning DQ;Mentioning DQ
58;CITRIS Policy Lab & Goldman School of Public Policy, UC Berkeley;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
59;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
60;European Magazine Media Association (EMMA) - European Newspaper Publishers' Association (ENPA);Business association;Belgium;Not mentioning DQ;Not mentioning DQ;NA;NA
61;EOSC Association;Other;Belgium;Not mentioning DQ;Not mentioning DQ;NA;NA
